# Recording
duration 75.006
nframes 2250
# Camera
framerate 29.997600191984642
imageToStage -0.993727445602417,-0.06086360290646553,0.06086360290646553,-0.993727445602417
rotation -3.080421285766743
imagenormaldir +Z
pixelsize 0.9955896
# Dual color
dualcolormode False
mainside Right
viewmode Splitted
recordingmode Original
translation_x 0.0
translation_y 0.0
rotation 0.0
# Tracking
roi_x 400
roi_y 400
capture_radius 400
min_step 1
threshold 30
binning 4
dark_bg True
mode CMS
area 400
# Frame Time X Y Z minBrightness maxBrightness meanBrightness medianBrightness skewness percentile_5 percentile_95
96 8381283.3 97.94072876008119 80.94332028599527 144.35497167968742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
97 8381316.6 97.94072876008119 80.94332028599527 144.35497167968742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
98 8381350.0 97.95147907207219 80.94332028599527 144.35497167968742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
99 8381383.3 97.95147907207219 80.9322055756305 144.35497167968742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
100 8381416.7 97.95147907207219 80.9322055756305 144.35497167968742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
101 8381450.0 97.97247851757939 80.9322055756305 144.35497167968742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
102 8381483.3 97.97247851757939 80.9218284692964 144.35497167968742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
103 8381516.7 97.97247851757939 80.9218284692964 144.35497167968742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
104 8381550.0 97.98599279170466 80.9218284692964 144.35497167968742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
105 8381583.3 97.98599279170466 80.91529512990694 144.35497167968742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
106 8381616.7 97.98599279170466 80.91529512990694 144.35497167968742 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
107 8381650.0 97.99141406249994 80.91524707031246 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
108 8381683.3 97.99141406249994 80.91630418062115 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
109 8381716.7 97.99141406249994 80.91630418062115 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
110 8381750.0 97.99141406249994 80.91630418062115 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
111 8381783.3 97.98202359643145 80.91630418062115 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
112 8381816.7 97.98202359643145 80.91900622466306 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
113 8381850.0 97.98202359643145 80.91900622466306 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
114 8381883.4 97.98202359643145 80.91900622466306 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
115 8381916.7 97.98025846747048 80.92329379985823 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
116 8381950.0 97.98025846747048 80.92329379985823 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
117 8381983.4 97.98025846747048 80.92329379985823 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
118 8382016.7 97.98025846747048 80.92329379985823 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
119 8382050.0 98.00600845703107 80.92329379985823 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
120 8382083.4 98.00600845703107 80.91953193875482 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
121 8382116.7 98.00600845703107 80.91953193875482 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
122 8382150.0 98.00600845703107 80.91953193875482 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
123 8382183.4 98.00600845703107 80.91953193875482 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
124 8382216.7 98.02933189714045 80.91953193875482 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
125 8382250.1 98.02933189714045 80.91259077655572 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
126 8382283.4 98.02933189714045 80.91259077655572 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
127 8382316.7 98.04397317800115 80.90700382698954 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
128 8382350.1 98.04397317800115 80.90700382698954 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
129 8382383.4 98.04397317800115 80.90700382698954 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
130 8382416.7 98.04519434097004 80.905401867578 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
131 8382450.1 98.04519434097004 80.905401867578 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
132 8382483.4 98.04519434097004 80.905401867578 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
133 8382516.7 98.0404967298543 80.905401867578 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
134 8382550.1 98.0404967298543 80.90252318019837 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
135 8382583.4 98.0404967298543 80.90252318019837 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
136 8382616.7 98.0315709959564 80.90252318019837 144.2884951171874 0 233 2.8329 0.0 8.181805246746432 0.0 4.0 
